id,tanggal,platform,topik,teks
1,19 seconds ago,YouTube,Makan Bergizi Gratis,Satu satunya jalan MBG harus di tutup
2,34 seconds ago,YouTube,Makan Bergizi Gratis,"SPPG Fiktif bukan hanya di pulau jawa saja.... hampir di seluruh provinsi ada SPPG Fiktif....
Bukan sengkarut tapi otak maling nya yg luar biasa."
3,1 minute ago,YouTube,Makan Bergizi Gratis,"Pak Presiden tangani baik dong, SPPG FIKTIF ini. Cari koruptornya..
Muak lihat org2 rakussss😫"
4,4 minutes ago,YouTube,Makan Bergizi Gratis,Setengah periode
5,5 minutes ago,YouTube,Makan Bergizi Gratis,Cukup satu periode
6,6 minutes ago,YouTube,Makan Bergizi Gratis,Fix ..2029 gw gak pilih lagi Prabowo..
7,11 minutes ago,YouTube,Makan Bergizi Gratis,Heran juga nengok presiden niii ....kok gk jdi pelajaran...dh byk buat kesalahan....
8,11 minutes ago,YouTube,Makan Bergizi Gratis,"Assalamualaikum wr wb. Good Job Pak Prabowo, Pak Burhanudin, dan Pak Purbaya 👍👍👍 Demi rakyat RI 👍👍👍 Tetap diteruskan saja NIAT MULIANYA Pak Prabowo, MBG nya Demi Rakyat RI 👍👍👍"
9,11 minutes ago,YouTube,Makan Bergizi Gratis,Sayurnya di perbaiki jgn asal buat sayur
10,12 minutes ago,YouTube,Makan Bergizi Gratis,"Benar kata P Mahfud, "" Hukum mati saja"" !"
11,13 minutes ago,YouTube,Makan Bergizi Gratis,Yg takut kelaparan pejabatnya bukan rakyatnya
12,14 minutes ago,YouTube,Makan Bergizi Gratis,"Halo negara konoha...gimana kbr nya hari ini,apa baik baik ajak ..jdi bual bualan negara tetangga hhhh"
13,15 minutes ago,YouTube,Makan Bergizi Gratis,"Ganti MBG jadi MBK, Makan Bergizi Koruptor"
14,19 minutes ago,YouTube,Makan Bergizi Gratis,Paling nye nye nye nye
15,33 minutes ago,YouTube,Makan Bergizi Gratis,Yang punya dapur MBG fiktif mungkin siluman
16,33 minutes ago,YouTube,Makan Bergizi Gratis,"mau banyak sppg fiktif jg gpp yg penting korupsi jalan terus  itu tujuan berdirinya MBG agar apbn bisa dikeurk habis""an tambah lagi hutang luar negerinya dong sebanyak"" nya bila perlu negara ini dijual saja demi kemakmuran dan kesejahteraan koruptor😂😂😂"
17,34 minutes ago,YouTube,Makan Bergizi Gratis,"Pemilik dapur niat awal nya bukan sosial
Tapi CUAN😢😢😢"
18,45 minutes ago,YouTube,Makan Bergizi Gratis,"Mending langsung di kasih 15rb perhari biar mamak mamaknya sendiri yg mikirin gizi anak anak mereka,pasti ekonomi bisa berputar"
19,46 minutes ago,YouTube,Makan Bergizi Gratis,Tidak mungkin cuma 100 kalau mereka bisa gerakkan pendemo pro mbg di seluruh provinsi
20,1 hour ago,YouTube,Makan Bergizi Gratis,"MBG berpuharus di jalankan, kalau ada kebocoran ya harus di benahi dan dijaga dan diperbaiki tapi bukan sampai stop karena ini, bukan soal mbg nya tapi demi generasi msa depan anak kita 20 taun yang akan datang, jadi supaya kita bisa bersaing dan sdm anak kita bisa bersaing seperti negara lain yang maju seperti japan yang ada mbg karena setiap protein dan gizi penting untuk masa depan anak kita kedepan, dan dari ekonomi ini langsung digucur ke desa agar manfaat nya bisa berantai dan seperti lapangan pekerjaan dan warung sembako hidup, petani dan nelayan, serta yang baru adalah petani ternak susu sapi bisa hidup agar bisa TKDN dalam negeri 100℅ demi mengerakan ekonomi dari bawah agar bisa hidup dan berputar"
21,1 hour ago,YouTube,Makan Bergizi Gratis,"RAKYAT LAPAR KARENA KEKAYAAN NEGARA, SDA NYA DIRAMPOK PENGUASA, PEJABAT, PARLEMEN, APARAT, PENEGAK HUKUM, OLIGARKI YANG SALING BERKOLABORASI DEMI KEKAYAAN ANAK CUCU 7 KETURUNAN KARENA MASIH KELAPARAN DENGAN HARTA.
RAKYAT LAPAR KARENA EKONOMI MASYARAKAT MATI AKIBAT DAYA BELI RENDAH, BEBAN HIDUP TINGGI DAN TIDAK ADA LAPANGAN KERJA.
RAKYAT LAPAR KARENA KEBIJAKAN2 YANG DIBUAT HANYA UNTUK MENGKAYAKAN SEGELINTIR ORANG TAPI MEMISKINKAN RATUSAN JUTA ORANG.
ZAMAN PAK HARTO TIDAK ADA MBG TAPI TIDAK ADA PROGRAM YANG MERAMPOK KEKAYAAN NEGARA SEHABIS2NYA ATAS NAMA PROGRAM MENGENYANGKAN RAKYAT DAN GIZI. PADAHAL HARI INI YANG KELAPARAN DAN KURANG GIZI KALANGAN ATAS YANG SEMAKIN HARI SEMAKIN SERAKAH DAN TIDAK TAKUT DENGAN HUKUMAN ALLAH. BANYAK INDUSTRI2 HILIR YANG BISA DIBANGUN DI SETIAP DAERAH DENGAN BAHAN BAKU HASIL PERTANIAN, PERKEBUNAN, TAMBANG DSB UNTUK MEMBUKA LAPANGAN KERJA BAGI ORANGTUA2 DAN GENERASI MUDA DARI SABANG SAMPAI MERAUKE AGAR RAKYAT DAPAT MEMBERI MAKAN DAN GIZI BAGI KELUARGANYA  NEGARA INI DIBANGUN BUKAN UNTUK BUAT DAPUR UMUM. JUSTRU PARA PEDAGANG DAN MASYARAKAT  MENGELUH KARENA SEMBAKO NAIK SEJAK ADA MBG. MBG MERAMPOK KEKAYAAN NEGARA DAN JUGA DAYA BELI MASYARAKAT"
22,2 hours ago (edited),YouTube,Makan Bergizi Gratis,"PEMERINTAHAN PRABOWO-GIBRAN ADALAH PEMERINTAHAN BTL ( BUTA, TULI & LUMPUH OTAKNYA ).
SAKIT JIWA & BERKELAINAN MENTAL, MANA MUNGKIN BISA BENAR NGURUS NEGARA   BAHAYA JIKA TERUS DILANJUTKAN. BAKAL HANCUR & BERANTAKAN BANGSA & NEGARA INI.
Ribuan SPPG fiktif  tersebar diseluruh indonesia."
23,2 hours ago,YouTube,Makan Bergizi Gratis,KLO niat MBG yg srius anti korupsi alangkah baiknya dana di transfer aja ke rekening orang tua masing2 lebih mudah di data dan akurat karna sesuai data murid di sekolah
24,2 hours ago,YouTube,Makan Bergizi Gratis,Kalau pun program MBG ingin di jalankan maka agar TDK terjadi jebolnya APBN bubarkan lembaga BGN beserta personal yg ada ddlmnya lalu alihkan ke lembaga BPOM
25,2 hours ago,YouTube,Makan Bergizi Gratis,"Jubir PEMERINTAH kalau lawan mas MEDIA pada takut semua,karna mas MEDIA data nya VALID 😂"
26,2 hours ago,YouTube,Makan Bergizi Gratis,Percuma mau bilang ky apa jg nanti endingnya 2029 yg di pilih orang orang ky gitu jg tetep aja orang Golkar yg pd jd Pejabat Pemerintahan nya😮
27,2 hours ago,YouTube,Makan Bergizi Gratis,hitung sendiri lah itu baru 1 kabupaten...kalo 1 sppg insentip 6 jt/hr...kalo 100 sppg=600 jt... sdh berlangsung brp lama...????? ini kejahatan luar biasa... semua yg terlibat minimal dihukum 20 thn dan pelaku utama nya dihukum mati ataau seumur hidup tanpa remisi di Nusakambangan.
28,2 hours ago,YouTube,Makan Bergizi Gratis,Memang bedebah.yg atas dan bawah korup.ada sekolah murid cuman 30 dpt jatah MBG 90.ADA juga jatah MBG/ kepala di ambil 1000 rupiah utk jatah guru per 1 bulan di cairkan jadi uang dan di bagi rata.semua penipu
29,2 hours ago,YouTube,Makan Bergizi Gratis,PRESIDEN KEPALA BATUUUUU
30,2 hours ago,YouTube,Makan Bergizi Gratis,Murah itu. Podo mau lah 350 juta murah apalagi udahnlegngkap plus produk di beli cash ..tapinklo bayar 1 Minggu Ndak lah bejol. ..modal apalgi PNS ada biaya2 siluman .contoh splier  harus setor 100 per kg  ke pemberi order pegawaiterkait ..
31,2 hours ago,YouTube,Makan Bergizi Gratis,100 x 6 juta. Sehari 🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑🤑 prabowo presiden idaman.
